text,label
safe drop,drug
chill?,normal
"2 packs ganja, ₹6k deal",drug
party at my place 🎉,normal
order coke 3g now,drug
college fest coming,normal
yo plug 5 tabs acid,drug
beach trip this weekend,normal
ganja leaf strong smell,drug
safe bag drop,drug
watching series rn 📺,normal
10 strips xanax pls,drug
pure mdma 2g,drug
board games night,normal
420 stash hidden,drug
coke price ₹4k,drug
football match ⚽,normal
yo plug deliver,drug
hash roll done,drug
take care 💙,normal
stash meth 1g,drug
send ganja,drug
good luck ✨,normal
buy 7 pill,drug
md dose,drug
hey,normal
bro 20 pills ecstasy,drug
safe bridge drop,drug
movie plan tomo,normal
hash brownies 🍪,drug
2g md sealed,drug
exams stress 😭,normal
stash pure lsd,drug
yo coke pack,drug
travel safe ✈️,normal
order kush 3g,drug
rain so nice,normal
5 strip tabs,drug
420 blunt,drug
lol fun,normal
pure 1g,drug
yo,drug
hi,normal
"deliver 10g hash, cash ready",drug
coffee shop meet tomo,normal
need coke asap,drug
birthday party 🎂,normal
2 tabs molly,drug
vacation vibes 🌴,normal
order meth 3g,drug
safe stash bag,drug
family dinner night,normal
yo lsd blotters,drug
hash sealed 5g,drug
exam results out,normal
420 brownies,drug
pack ready,drug
gd mrng,normal
pls 1g,drug
yo?,drug
ok,normal
"deal 10 strips xanax, ₹8k",drug
beach sunset amazing 🌅,normal
order 2g coke,drug
office meeting 3pm,normal
ganja roll strong,drug
vacay planned,normal
stash md pure,drug
safe drop corner,drug
project submit tomo,normal
yo tabs ready,drug
hash ball 2g,drug
movie time 🍿,normal
pls weed pack,drug
meth dose,drug
night out,normal
5 pills,drug
2g,drug
hi,normal
bro i need 4g kush today,drug
come online fast,normal
2 strip xans deal?,drug
pls deliver pack nr mall,drug
watching cricket match 🏏,normal
yo got mdma pure?,drug
safe bag under car,drug
party vibes 🎶,normal
hash brownies done,drug
new shoes look cool 👟,normal
420 stash sealed,drug
buy 1g coke quick,drug
trip was awesome,normal
yo plug 5 tabs,drug
ganja leaf pack,drug
hey call now,normal
send lsd blotter,drug
meth sealed pack,drug
omg 😂😂,normal
order 2 pills,drug
1g md,drug
yup,normal
need pure meth asap,drug
2 packs hash sealed,drug
let’s meet tomo 7pm,normal
coke 3 lines,drug
pls 2 tabs,drug
good night 🌙,normal
order ganja,drug
hash cake,drug
ok bro,normal
420 pack,drug
md dose,drug
yo,normal
deal 15 pills molly,drug
coffee break rn,normal
2 strip xans pls,drug
safe drop pack,drug
crystal meth 1g,drug
watch movie later?,normal
ganja strong smell,drug
drop sealed bag,drug
family trip soon,normal
yo coke 5g,drug
hash stash,drug
u ok?,normal
pls md,drug
420,drug
sup,normal
"deliver 20 tabs molly, ₹10k",drug
new job confirmed 🎉,normal
coke 2g fast,drug
rain today heavy,normal
stash pure ganja,drug
coffee plan tomo,normal
yo pack sealed,drug
pls drop 5g,drug
friends meetup tonight,normal
hash 2g roll,drug
md crystal,drug
holiday pics 📸,normal
420 blunt,drug
pills?,drug
hi,normal
deal 2 strip xanax,drug
weekend trip,normal
order coke 1g,drug
safe stash ready,drug
ganja leaf,drug
see u tomo,normal
yo lsd tab,drug
meth 2g,drug
omw,normal
hash pack,drug
pls weed,drug
gd night,normal
420 roll,drug
2 pill,drug
yoo,normal
bro got white stuff? 5g deal,drug
let’s meet at cafe,normal
yo 3 tabs mdma,drug
rain vibe,normal
coke sealed pack,drug
movie night,normal
stash 2g hash,drug
pls drop corner,drug
exam prep,normal
ganja brownies,drug
420 blunt lit,drug
ok,normal
hashy roll,drug
meth dose,drug
yo,normal
order 10 tabs lsd,drug
workload heavy,normal
coke 2 lines,drug
safe pack ready,drug
ganja leaf smell,drug
funny meme 😂,normal
pls send md,drug
hash 5g,drug
420 pack,drug
hi bro,normal
yo deliver 2g hash today,drug
coffee meet 5pm,normal
coke 3g fast,drug
exams stress,normal
stash ganja safe,drug
pls 1 tab acid,drug
rainy day,normal
yo plug pack,drug
hashy cake,drug
gd mrng,normal
420 roll,drug
meth 1g,drug
ok,normal
need 4 tabs ecstasy asap,drug
family dinner,normal
yo 5 strip xans,drug
drop pack nr station,drug
watch show later,normal
ganja 2g,drug
pls coke line,drug
weekend plan,normal
hash roll,drug
420 blunt,drug
call me,normal
order md,drug
safe bag,drug
yoo,normal
"Hey, need some white stuff?",drug
Are we still meeting for coffee tomorrow?,normal
"Got that ganja, 2g for ₹5k",drug
Happy birthday! Hope you have a great day!,normal
Can u drop near station? Pls be quick,drug
Did you watch the new movie last night?,normal
"Pills available, 500mg each",drug
"Let's catch up soon, it's been ages!",normal
bro need that kush cake slice tonight,drug
any update on assignment grades?,normal
"plug, 10 tabs acid for friday night",drug
train was late again 😒,normal
order 7g charas sealed,drug
birthday party at hostel 🎂,normal
yo u got brown sugar batch?,drug
new shoes launch tomorrow 👟,normal
pls 2 packs oxy 20mg each,drug
family trip next weekend 🚗,normal
how much for 50 blotters lsd?,drug
let’s play pubg later 🎮,normal
hash crumble ready? 5g,drug
coffee meet after office ☕,normal
"white powder pure, 2 lines",drug
football practice today ⚽,normal
yo plug stash in locker 7,drug
library is too crowded rn,normal
"need ganja leaves, bulk",drug
safe drop under bench,drug
going for dinner date 🍽️,normal
"buy 500mg md, sealed pack",drug
pls deliver kush joints,drug
watching movie premiere 🍿,normal
bro 10 strips diazepam,drug
rain flooded streets 😭,normal
yo stash coke in shoe box,drug
party was wild last night 🎉,normal
420 brownie batch fresh,drug
pls give 3 pills ritalin,drug
new guitar arrived 🎸,normal
charas 2 ounce ready,drug
safe bridge stash,drug
working on project code 👨‍💻,normal
plug i need meth crystals,drug
order 25g ganja leaf,drug
beach waves look amazing 🌊,normal
drop 2g ice in locker,drug
pls tab acid delivered,drug
u free for cricket match?,normal
coke 4g quick,drug
hash cake baked today,drug
coffee meeting extended,normal
need 6 xanax strips,drug
pure lsd 10 hits,drug
exams next week panic 😅,normal
plug stash weed edibles,drug
safe box deposit,drug
movie marathon tonight,normal
meth dose 2g,drug
order molly caps,drug
picnic day fun 🧺,normal
yo coke gram sealed,drug
ganja roll joint,drug
weekend football tourney,normal
stash tabs mdma,drug
pls 3 pills adderall,drug
coffee shop gossip,normal
charas ball 5g,drug
420 cookies 🍪,drug
assignment pending sigh,normal
hash oil 2ml,drug
drop pure meth,drug
exam went well yay,normal
yo 1 ounce weed,drug
lsd trip sheets,drug
omg rainbows 🌈,normal
bro coke pure 2g,drug
stash pills xan,drug
safe brown pack,drug
going for lunch break,normal
plug 3 tabs lsd,drug
ganja smell loud,drug
coffee date ☕,normal
420 kush roll,drug
charas puff,drug
pls md,drug
hiya,normal
hash 3g sealed deal,drug
friend’s wedding tomo 💍,normal
yo white powder batch,drug
office boring meeting,normal
drop 4 tabs ecstasy,drug
pls ganja roll joint,drug
school reunion soon,normal
meth stash 1g,drug
lsd blotters 2,drug
game fun time 🎮,normal
coke sealed 3,drug
charas cream 2g,drug
safe pack hidden,drug
traveling abroad soon ✈️,normal
order 10 pills addy,drug
pls kush leaves,drug
library quiet study,normal
yo molly caps,drug
ganja joint,drug
gd mrng,normal
white sugar pack 5g,drug
safe bag corner,drug
pls meth dose,drug
crystal shine batch,drug
party tomo 🎉,normal
drop lsd hits,drug
hash crumble,drug
sup,normal
plug coke stash,drug
need 3 strips,drug
yo kush,drug
walk later?,normal
stash 2g charas,drug
order pills pack,drug
coffee break,normal
ganja 5g,drug
md caps,drug
hello,normal
plug 5 pills ecstasy,drug
watching anime rn 📺,normal
yo stash weed 3g,drug
safe drop under stairs,drug
assignment due tomo,normal
meth rocks pure,drug
pls 2 tabs blotter,drug
movie fun 😍,normal
hash joint roll,drug
420 puff puff,drug
cricket fever 🏏,normal
drop coke 5g,drug
ganja brownies,drug
safe pack stash,drug
vacation vibes 🌴,normal
yo charas 2g,drug
pls mdma tab,drug
coffee rain,normal
stash 1g,drug
meth dose,drug
ok,normal
plug 10 strips valium,drug
bro football match tickets,normal
white powder deal sealed,drug
safe stash spot,drug
school exams soon,normal
420 joints pack,drug
hashy roll 2g,drug
pls coke gram,drug
vacay planned,normal
yo weed caps,drug
drop md sealed,drug
friend bday tomo 🎂,normal
coke pure 2,drug
ganja edibles,drug
pls lsd hit,drug
meeting canceled,normal
hash puff,drug
safe bag,drug
yo,drug
hey,normal
deliver 7 tabs mdma fast,drug
family lunch today 🍲,normal
yo charas ball 3g,drug
crystal clear batch,drug
watching football live ⚽,normal
pls 5 pills ritalin,drug
stash coke 4g,drug
party hype rn 🎶,normal
order 2 strip xan,drug
drop ganja cake,drug
new phone launched 📱,normal
meth 3g pure,drug
yo 1g hash,drug
safe pack box,drug
assignment check,normal
420 roll joint,drug
coke 2 lines,drug
pls md dose,drug
exam time 😭,normal
ganja leaf,drug
hash crumble,drug
sup,normal
meth cap,drug
yo,drug
hi,normal
stash pure coke 1 ounce,drug
coffee outing tomo ☕,normal
pls 3 pills molly,drug
safe spot stash,drug
football ground packed,normal
yo plug weed 2g,drug
drop 4 strip valium,drug
office call later,normal
charas hash cake,drug
meth pure gram,drug
pls lsd trip,drug
exam was easy,normal
420 blunt lit,drug
hashy roll,drug
coke dose,drug
yo,drug
ok,normal
need 20 tabs acid for fest,drug
birthday dinner night 🎂,normal
stash ganja sealed pack,drug
safe drop near cafe,drug
cricket score updates 🏏,normal
yo plug md dose,drug
order 2 pills adderall,drug
coffee shop chill,normal
pls meth cap,drug
420 smoke roll,drug
charas puff ball,drug
exam date out,normal
hashy 2g,drug
yo coke,drug
safe pack,drug
movie fun,normal
md 1g,drug
ganja,drug
hi,normal
drop 10 strips xanax at park,drug
going gym tomo 💪,normal
bro coke crystal 5g,drug
safe stash bridge,drug
vacay mood 🏖️,normal
pls 4 tabs molly,drug
ganja joints pack,drug
office overtime 😓,normal
yo hash oil 2ml,drug
stash mdma caps,drug
coffee break chat,normal
coke 3 lines,drug
pls charas 2g,drug
football practice,normal
safe bag under,drug
420 edibles,drug
yo meth,drug
hi,normal
plug lsd blotters 15 hits,drug
family trip planned 🚗,normal
hashy brownie 🍫,drug
pls 1g weed pack,drug
movie premiere today,normal
yo coke dose,drug
drop xan strips,drug
rain today heavy 🌧️,normal
meth pure stash,drug
420 blunt roll,drug
safe hidden box,drug
pls pills,drug
coffee rain chill,normal
charas joint,drug
yo,drug
ok,normal
order 30 pills ecstasy bulk,drug
watching cricket match,normal
hash cream pure,drug
stash weed sealed,drug
football match tomo,normal
yo mdma gram,drug
pls coke pack,drug
safe stash under,drug
coffee plan,normal
420 puff,drug
ganja,drug
meth,drug
hi,normal
deliver 5g crystal meth tonight,drug
birthday surprise 🎂,normal
yo charas leaf pack,drug
safe bridge bag,drug
pls 2 tabs ecstasy,drug
exam stress rn,normal
hashy puff roll,drug
420 stash sealed,drug
vacation vibes,normal
coke gram deal,drug
ganja joint,drug
meth dose,drug
yo,drug
hi,normal
"plug 10 tabs acid, friday",drug
movie night friends 🍿,normal
safe drop coke,drug
pls 5 pills xanax,drug
office call schedule,normal
yo weed stash,drug
hash 3g sealed,drug
420 puff roll,drug
football fun ⚽,normal
drop mdma cap,drug
meth crystal 1g,drug
safe pack hidden,drug
exam hall tmr,normal
ganja dose,drug
pls coke,drug
yo,drug
sup,normal
stash charas 7g,drug
coffee lunch,normal
420 smoke,drug
pls meth,drug
hash,drug
ok,normal
plug lsd 3 hits,drug
vacay day trip,normal
yo coke 2g,drug
safe stash,drug
ganja roll,drug
pls md,drug
family meet,normal
meth cap,drug
charas,drug
hi,normal
drop 2 strips xan,drug
movie watch,normal
420 kush,drug
hash joint,drug
yo,drug
ok,normal
"meet park bench, i got coke",drug
yo need acid oil carts?,drug
"bro d r u g drop behind mall, 10am sharp",drug
yo need hash oil carts?,drug
"drop near mall at midnight, bring ₹10k cash",drug
"new pills landed, safe batch",drug
got xanax lines pure fishscale 🐟,drug
"new 420 landed, safe batch",drug
yo mule got stuff ready,drug
yo wanna hangout later?,normal
"yo d r u g stash secured, u in?",drug
let’s catch up at the cinema tomorrow,normal
"meet park bench, i got mdma",drug
"meet park bench, i got ganja",drug
can u believe the rain today 🌧️,normal
"10 tabs blunts for ₹3k, deal only today",drug
yo mule got stuff ready,drug
"bro p1lls drop behind mall, midnight sharp",drug
got 420 lines pure fishscale 🐟,drug
"drop near station at midnight, bring 1k cash",drug
drop 1k nd get pure 420,drug
"ganja r in stock, 3g caps 💊 hit me",drug
"drop near station at 10am, bring 7k cash",drug
happy birthday 🎉 hope u have a great day,normal
"drop near park at midnight, bring ₹3k cash",drug
yo wanna roll acid rave night,drug
joint sesh tonight 🚬🌿,drug
had such a fun trip with fam ❤️,normal
yo mule got stuff ready,drug
"watching the concert rn, crazy game",normal
drop ₹10k nd get pure mdma,drug
"drop near cinema at 9pm, bring ₹10k cash",drug
yo did u finish the project report?,normal
happy new year 🎆,normal
yo free for call later?,normal
can u pls send me those notes,normal
hope u feeling better now,normal
"meet park bench, i got mdma",drug
what’s ur fav song rn?,normal
happy new year 🎆,normal
"watching the concert rn, crazy game",normal
yo did u finish the assignment?,normal
"hash r in stock, 500mg caps 💊 hit me",drug
let’s go shopping this weekend,normal
"drop near station at 10am, bring 7k cash",drug
"acid r in stock, 3g caps 💊 hit me",drug
"plug said coke tabs ready, 500mg for 1k",drug
yo mule got stuff ready,drug
don’t forget meeting at 10am,normal
don’t forget meeting at midnight,normal
"bro game night at my place, u coming?",normal
"bro p1lls drop behind mall, midnight sharp",drug
"drop near gym at midnight, bring ₹10k cash",drug
what time is the movie?,normal
yo wanna roll acid rave night,drug
let’s go workout this weekend,normal
got 420 lines pure fishscale 🐟,drug
"yo d r u g stash secured, u in?",drug
yo need ganja oil carts?,drug
blunt sesh tonight 🚬🌿,drug
"meet park bench, i got benzos",drug
can u believe the rain today 🌧️,normal
yo wanna roll mdma rave night,drug
"white stuff r in stock, 5g caps 💊 hit me",drug
yo mule got stuff ready,drug
can u pls send me those notes,normal
miss our old times,normal
u free to pickup coke?,drug
let’s catch up at the station tomorrow,normal
got benzos lines pure fishscale 🐟,drug
"yo p1lls stash secured, u in?",drug
see u at park tonight,normal
"drop near mall at 9pm, bring ₹5k cash",drug
see u at gym tonight,normal
"drop near gym at midnight, bring ₹3k cash",drug
"hash r in stock, 5g caps 💊 hit me",drug
"yo d r u g stash secured, u in?",drug
"plug said ganja tabs ready, 5g for ₹10k",drug
yo mule got stuff ready,drug
"bro p1lls drop behind mall, 10am sharp",drug
happy birthday 🎉 hope u have a great day,normal
"gram of coke for 1k, u down?",drug
can u believe the rain today 🌧️,normal
u free to pickup 420?,drug
benzos brownies 🍫 4 sale,drug
u free to pickup ganja?,drug
drop ₹5k nd get pure 420,drug
bro u want some acid 🌿🔥?,drug
call me when free,normal
yo mule got stuff ready,drug
420 brownies 🍫 4 sale,drug
yo need mdma oil carts?,drug
"watching the match rn, crazy game",normal
"drop near park at 9pm, bring 7k cash",drug
what time is the movie?,normal
"bro p1lls drop behind mall, midnight sharp",drug
let’s go shopping this weekend,normal
u free to pickup benzos?,drug
"5g blunts for ₹5k, deal only today",drug
yo need ganja oil carts?,drug
see u at park tonight,normal
yo mule got stuff ready,drug
"coke r in stock, 10 tabs caps 💊 hit me",drug
bro lunch break in 10,normal
"10 tabs blunts for ₹5k, deal only today",drug
got benzos lines pure fishscale 🐟,drug
got pills lines pure fishscale 🐟,drug
yo need white stuff oil carts?,drug
u free to pickup hash?,drug
big stash of mdma incoming,drug
miss our old times,normal
"500mg blunts for ₹10k, deal only today",drug
"yo d r u g stash secured, u in?",drug
yo need acid oil carts?,drug
"drop near park at 9pm, bring ₹3k cash",drug
bro u want some 420 🌿🔥?,drug
bro u want some xanax 🌿🔥?,drug
"bro game night at my place, u coming?",normal
bro lunch break in 10,normal
bro u want some white stuff 🌿🔥?,drug
can u pls send me those notes,normal
"500mg blunts for ₹10k, deal only today",drug
miss our old times,normal
yo free for call later?,normal
big stash of pills incoming,drug
"plug said pills tabs ready, 2g for 7k",drug
big stash of xanax incoming,drug
happy new year 🎆,normal
hash brownies 🍫 4 sale,drug
"gram of benzos for ₹10k, u down?",drug
bro u want some ganja 🌿🔥?,drug
bro u want some pills 🌿🔥?,drug
"plug said coke tabs ready, 10 tabs for 1k",drug
mdma brownies 🍫 4 sale,drug
joint sesh tonight 🚬🌿,drug
bro lunch break in 10,normal
got ganja lines pure fishscale 🐟,drug
"gram of acid for ₹10k, u down?",drug
can u pls send me those notes,normal
bro u want some acid 🌿🔥?,drug
420 sesh tonight 🚬🌿,drug
"new coke landed, safe batch",drug
i’ll pick u up at 9pm,normal
"drop near gym at 8pm, bring 1k cash",drug
"meet park bench, i got hash",drug
yo got that pills? need 2g asap,drug
420 sesh tonight 🚬🌿,drug
"yo p1lls stash secured, u in?",drug
yo mule got stuff ready,drug
hey how are you doing today?,normal
yo need coke oil carts?,drug
blunt sesh tonight 🚬🌿,drug
yo mule got stuff ready,drug
yo free for call later?,normal
yo wanna roll ganja rave night,drug
big stash of xanax incoming,drug
yo wanna roll mdma rave night,drug
drop 1k nd get pure pills,drug
yo got that 420? need 5g asap,drug
"new mdma landed, safe batch",drug
"bro w33d drop behind mall, 10am sharp",drug
can u pls send me those notes,normal
"bro p1lls drop behind mall, 8pm sharp",drug
"10 tabs blunts for ₹10k, deal only today",drug
yo got that coke? need 2g asap,drug
"bro w33d drop behind mall, 8pm sharp",drug
yo mule got stuff ready,drug
don’t forget meeting at 8pm,normal
good morning ☀️ have a nice day,normal
joint sesh tonight 🚬🌿,drug
big stash of coke incoming,drug
happy birthday 🎉 hope u have a great day,normal
u free to pickup pills?,drug
yo wanna hangout later?,normal
"2g blunts for 1k, deal only today",drug
"bro game night at my place, u coming?",normal
hey how are you doing today?,normal
don’t forget meeting at 8pm,normal
yo got that 420? need 3g asap,drug
big stash of hash incoming,drug
"gram of white stuff for ₹5k, u down?",drug
yo need white stuff oil carts?,drug
what’s ur fav song rn?,normal
420 sesh tonight 🚬🌿,drug
"benzos r in stock, 10 tabs caps 💊 hit me",drug
"gram of 420 for 7k, u down?",drug
happy new year 🎆,normal
can u pls send me those notes,normal
